SubID,RewardLevel,PenaltyLevel,CueDisplayed,Interval,IntervalLength_Ideal,IntervalLength_Actual,IntervalLengthNoISI_Actual,TaskBugCorrected,RewardLevelTaskCode,PenaltyLevelTaskCode
2011,0,1,Loss1_Pen2,61,6.8,7.01828546999604,5.76828546999604,1,0,0
2011,0,1,Loss1_Pen2,62,6.8,6.80126477799786,4.80126477799786,1,0,0
2011,0,0,Loss1_Pen1,63,6,6.01698719200067,4.51698719200067,0,0,0
2011,0,0,Loss1_Pen1,64,7.6,7.6124821859994,5.6124821859994,1,0,1
2012,0,1,Loss1_Pen2,1,8.4,8.41847889900237,6.41847889900237,0,0,1
2012,0,0,Loss1_Pen1,2,7.6,7.60124386499956,5.60124386499956,1,0,1
2012,0,0,Loss1_Pen1,3,6,6.01252462300181,4.76252462300181,0,0,0
2012,0,0,Loss1_Pen1,4,7.6,7.61805571400328,6.61805571400328,1,0,1
2012,0,1,Loss1_Pen2,5,6.8,6.81050918099936,5.31050918099936,1,0,0
2012,0,1,Loss1_Pen2,6,6.8,6.81791227999929,5.56791227999929,1,0,0
2012,0,1,Loss1_Pen2,7,8.4,8.41819555599795,6.66819555599795,0,0,1
2012,0,0,Loss1_Pen1,8,6,6.01180229600141,4.51180229600141,0,0,0
2012,0,1,Loss1_Pen2,9,8.4,8.41823316799855,6.91823316799855,0,0,1
2012,0,1,Loss1_Pen2,10,6.8,6.81210265099799,5.56210265099799,1,0,0
2012,0,1,Loss1_Pen2,11,6.8,6.8170939240008,5.0670939240008,1,0,0
2012,0,0,Loss1_Pen1,12,7.6,7.61711603200092,5.86711603200092,1,0,1
2012,0,0,Loss1_Pen1,13,7.6,7.71260953200544,6.21260953200544,1,0,1
2012,0,0,Loss1_Pen1,14,6,6.00124701599998,4.75124701599998,0,0,0
2012,0,1,Loss1_Pen2,15,8.4,8.41726199699769,6.16726199699769,0,0,1
2012,0,0,Loss1_Pen1,16,6,6.01810146799835,4.51810146799835,0,0,0
2012,1,1,Loss2_Pen2,17,8.4,8.41761292100273,6.41761292100273,0,1,1
2012,1,0,Loss2_Pen1,18,6,6.01692190599715,4.76692190599715,0,1,0
2012,1,1,Loss2_Pen2,19,6.8,6.80009458600398,4.80009458600398,1,1,0
2012,1,1,Loss2_Pen2,20,6.8,6.98363146200427,5.48363146200427,1,1,0
2012,1,0,Loss2_Pen1,21,7.6,7.60124407699914,5.85124407699914,1,1,1
2012,1,0,Loss2_Pen1,22,6,6.01709914700041,4.51709914700041,0,1,0
2012,1,1,Loss2_Pen2,23,8.4,8.41777356099919,6.66777356099919,0,1,1
2012,1,0,Loss2_Pen1,24,7.6,7.61766912799794,5.86766912799794,1,1,1
2012,1,0,Loss2_Pen1,25,6,6.15115445300034,4.15115445300034,0,1,0
2012,1,0,Loss2_Pen1,26,6,6.01734381599817,4.51734381599817,0,1,0
2012,1,1,Loss2_Pen2,27,8.4,8.40120426599606,5.90120426599606,0,1,1
2012,1,1,Loss2_Pen2,28,6.8,6.81713677499647,5.31713677499647,1,1,0
2012,1,0,Loss2_Pen1,29,7.6,7.66729573500197,5.66729573500197,1,1,1
2012,1,0,Loss2_Pen1,30,7.6,7.61780446500052,5.36780446500052,1,1,1
2012,1,1,Loss2_Pen2,31,6.8,6.81785595700057,5.06785595700057,1,1,0
2012,1,1,Loss2_Pen2,32,8.4,8.59513035200507,6.09513035200507,0,1,1
2012,1,0,Loss2_Pen1,33,8.4,8.41737191900029,6.41737191900029,0,1,0
2012,0,0,Loss1_Pen1,34,6.8,6.80066798100597,5.05066798100597,0,0,0
2012,1,0,Loss2_Pen1,35,6.8,6.81146086199442,5.06146086199442,0,1,0
2012,0,0,Loss1_Pen1,36,8.4,8.61179475499375,6.36179475499375,0,0,0
2012,1,0,Loss2_Pen1,37,8.4,8.41283302599913,6.16283302599913,0,1,0
2012,1,0,Loss2_Pen1,38,6,6.00027242499345,4.50027242499345,0,1,0
2012,0,0,Loss1_Pen1,39,6,6.01699876000202,4.76699876000202,0,0,0
2012,0,0,Loss1_Pen1,40,7.6,7.60124166600144,5.60124166600144,0,0,0
2012,1,0,Loss2_Pen1,41,7.6,7.61777260099916,6.11777260099916,0,1,0
2012,0,0,Loss1_Pen1,42,6.8,6.81184576600208,4.81184576600208,0,0,0
2012,1,0,Loss2_Pen1,43,6,6.1172270140014,4.6172270140014,0,1,0
2012,0,0,Loss1_Pen1,44,6,6.00124324200442,4.25124324200442,0,0,0
2012,0,0,Loss1_Pen1,45,8.4,8.41740999499598,6.16740999499598,0,0,0
2012,0,0,Loss1_Pen1,46,7.6,7.61719711899786,6.36719711899786,0,0,0
2012,1,0,Loss2_Pen1,47,6.8,7.00051835700287,5.25051835700287,0,1,0
2012,1,0,Loss2_Pen1,48,7.6,7.61724893299834,5.36724893299834,0,1,0
2012,0,1,Loss1_Pen2,49,7.6,7.61723568700108,6.11723568700108,0,0,1
2012,0,1,Loss1_Pen2,50,8.4,8.41739287199744,6.91739287199744,0,0,1
2012,1,1,Loss2_Pen2,51,6,6.01171139899816,5.01171139899816,0,1,1
2012,1,1,Loss2_Pen2,52,8.4,8.41816328200366,6.66816328200366,0,1,1
2012,1,1,Loss2_Pen2,53,8.4,8.40121197699773,6.65121197699773,0,1,1
2012,1,1,Loss2_Pen2,54,6.8,6.81704110499413,5.31704110499413,0,1,1
2012,0,1,Loss1_Pen2,55,7.6,7.6839918600017,6.1839918600017,0,0,1
2012,1,1,Loss2_Pen2,56,7.6,7.60023842599912,5.60023842599912,0,1,1
2012,0,1,Loss1_Pen2,57,8.4,8.41739094600052,6.91739094600052,0,0,1
2012,0,1,Loss1_Pen2,58,6.8,7.00047966800048,5.25047966800048,0,0,1
2012,1,1,Loss2_Pen2,59,6,6.01700464000169,4.76700464000169,0,1,1
2012,1,1,Loss2_Pen2,60,6.8,6.81713718399988,5.06713718399988,0,1,1
2012,0,1,Loss1_Pen2,61,6.8,6.8837265520051,5.3837265520051,0,0,1
2012,0,1,Loss1_Pen2,62,6,6.25055286000133,4.75055286000133,0,0,1
2012,1,1,Loss2_Pen2,63,7.6,7.6172108049941,5.3672108049941,0,1,1
2012,0,1,Loss1_Pen2,64,6,6.20030398100062,4.45030398100062,0,0,1
2013,1,0,Loss2_Pen1,1,8.4,8.58276314800605,6.33276314800605,0,1,0
2013,1,0,Loss2_Pen1,2,6,6.00129762297729,4.25129762297729,0,1,0
2013,1,0,Loss2_Pen1,3,6.8,6.81537865503924,5.31537865503924,0,1,0
2013,0,0,Loss1_Pen1,4,6,6.00038723001489,4.75038723001489,0,0,0
2013,1,0,Loss2_Pen1,5,6,6.01537901494885,4.51537901494885,0,1,0
2013,0,0,Loss1_Pen1,6,7.6,7.61540004302515,5.61540004302515,0,0,0
2013,1,0,Loss2_Pen1,7,7.6,7.61534920800477,5.61534920800477,0,1,0
2013,1,0,Loss2_Pen1,8,8.4,8.40127131697955,5.90127131697955,0,1,0
2013,1,0,Loss2_Pen1,9,7.6,7.60128399403766,5.35128399403766,0,1,0
2013,0,0,Loss1_Pen1,10,6.8,6.81534567702329,5.06534567702329,0,0,0
2013,0,0,Loss1_Pen1,11,6.8,6.80129074299475,4.80129074299475,0,0,0
2013,0,0,Loss1_Pen1,12,6,6.01582686899928,4.76582686899928,0,0,0
2013,1,0,Loss2_Pen1,13,6.8,6.83286492101615,4.83286492101615,0,1,0
2013,0,0,Loss1_Pen1,14,7.6,7.61538529896643,5.36538529896643,0,0,0
2013,0,0,Loss1_Pen1,15,8.4,8.41534985898761,6.41534985898761,0,0,0
2013,0,0,Loss1_Pen1,16,8.4,8.41537397104548,6.66537397104548,0,0,0
2013,0,1,Loss1_Pen2,17,6.8,6.81550053000683,5.31550053000683,0,0,1
2013,0,1,Loss1_Pen2,18,8.4,8.40127937903162,6.65127937903162,0,0,1
2013,1,1,Loss2_Pen2,19,8.4,8.41533861396601,6.16533861396601,0,1,1
2013,0,1,Loss1_Pen2,20,7.6,7.61537617002614,5.86537617002614,0,0,1
2013,1,1,Loss2_Pen2,21,6,6.28208843094762,5.03208843094762,0,1,1
2013,0,1,Loss1_Pen2,22,8.4,8.40130917401984,6.40130917401984,0,0,1
2013,1,1,Loss2_Pen2,23,6.8,6.80131965101464,4.80131965101464,0,1,1
2013,0,1,Loss1_Pen2,24,6,6.01548167399596,5.26548167399596,0,0,1
2013,1,1,Loss2_Pen2,25,6,6.21537797397468,4.21537797397468,0,1,1
2013,0,1,Loss1_Pen2,26,6.8,6.80127838003682,5.05127838003682,0,0,1
2013,0,1,Loss1_Pen2,27,7.6,7.61539538000943,6.36539538000943,0,0,1
2013,1,1,Loss2_Pen2,28,7.6,7.60127696802374,5.35127696802374,0,1,1
2013,1,1,Loss2_Pen2,29,6.8,6.81533283699537,5.06533283699537,0,1,1
2013,1,1,Loss2_Pen2,30,8.4,8.40127570799086,5.90127570799086,0,1,1
2013,1,1,Loss2_Pen2,31,7.6,7.8152489750064,5.8152489750064,0,1,1
2013,0,1,Loss1_Pen2,32,6,6.09894688398344,5.09894688398344,0,0,1
2013,0,1,Loss1_Pen2,33,8.4,8.40125179901952,6.15125179901952,0,0,1
2013,0,0,Loss1_Pen1,34,7.6,7.6151603020262,5.8651603020262,1,0,1
2013,0,0,Loss1_Pen1,35,7.6,7.61639700399246,6.11639700399246,1,0,1
2013,0,0,Loss1_Pen1,36,6,6.01538489200175,5.01538489200175,0,0,0
