SubID,Vers,StimWord,StimColor,BlockType,BlockNum,IntervalNum,IntervalLength,TrialsInInterval,IntervalTrialNum,RewLvl,GainLvl,PenaltyLvl,Congruency,RewLvlBlockcode,GainLvlBlockcode,CorrectResp,Resp,IsComplete,RT,Acc,RespRateAll,RespRateCorr,RespRateCorrNoISI,IntervalLengthSecs,IntervalLengthSecsNoISI,AccRT,logRT,logAccRT
2004,201,BLUE,blue,lowRew,1,3,8.4,12,7,0,1,NaN,1,-1,0,3,3,1,0.560881272002007,1,1.2891704957757,NaN,NaN,8.53261848300463,5.78261848300463,0.560881272002007,-0.578246032217634,-0.578246032217634
2004,201,YELLOW,yellow,lowRew,1,3,8.4,12,8,0,1,NaN,1,-1,0,4,4,1,0.41602036000404,1,1.2891704957757,NaN,NaN,8.53261848300463,5.78261848300463,0.41602036000404,-0.877021077601105,-0.877021077601105
2004,201,BLUE,blue,lowRew,1,3,8.4,12,9,0,1,NaN,1,-1,0,3,3,1,0.484597964998102,1,1.2891704957757,NaN,NaN,8.53261848300463,5.78261848300463,0.484597964998102,-0.724435669952108,-0.724435669952108
2004,201,YELLOW,yellow,lowRew,1,3,8.4,12,10,0,1,NaN,1,-1,0,4,4,1,0.344614072004333,1,1.2891704957757,NaN,NaN,8.53261848300463,5.78261848300463,0.344614072004333,-1.06533011995789,-1.06533011995789
2004,201,RED,blue,lowRew,1,3,8.4,12,11,0,1,NaN,0,-1,0,3,3,1,0.341806130003533,1,1.2891704957757,NaN,NaN,8.53261848300463,5.78261848300463,0.341806130003533,-1.07351157398653,-1.07351157398653
2004,201,GREEN,green,lowRew,1,3,8.4,12,12,0,1,NaN,1,-1,0,1,NaN,1,NaN,NaN,NaN,NaN,NaN,8.53261848300463,5.78261848300463,NaN,NaN,NaN
2004,201,BLUE,red,lowRew,1,4,8.4,10,1,0,0,NaN,0,-1,0,2,2,1,0.992953078995924,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.992953078995924,-0.00707186781980499,-0.00707186781980499
2004,201,RED,blue,lowRew,1,4,8.4,10,2,0,0,NaN,0,-1,0,3,3,1,0.647177871011081,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.647177871011081,-0.435134105708874,-0.435134105708874
2004,201,GREEN,yellow,lowRew,1,4,8.4,10,3,0,0,NaN,0,-1,0,4,4,1,0.659229090000736,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.659229090000736,-0.416684172111853,-0.416684172111853
2004,201,YELLOW,blue,lowRew,1,4,8.4,10,4,0,0,NaN,0,-1,0,3,3,1,0.524100405003992,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.524100405003992,-0.646072000413407,-0.646072000413407
2004,201,BLUE,yellow,lowRew,1,4,8.4,10,5,0,0,NaN,0,-1,0,4,4,1,0.798838241011254,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.798838241011254,-0.224596805512678,-0.224596805512678
2004,201,GREEN,blue,lowRew,1,4,8.4,10,6,0,0,NaN,0,-1,0,3,3,1,0.376281091012061,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.376281091012061,-0.977418832413948,-0.977418832413948
2004,201,BLUE,red,lowRew,1,4,8.4,10,7,0,0,NaN,0,-1,0,2,2,1,0.47911690500041,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.47911690500041,-0.735810650805498,-0.735810650805498
2004,201,GREEN,green,lowRew,1,4,8.4,10,8,0,0,NaN,1,-1,0,1,1,1,0.435373252999852,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.435373252999852,-0.831551562937149,-0.831551562937149
2004,201,YELLOW,yellow,lowRew,1,4,8.4,10,9,0,0,NaN,1,-1,0,4,4,1,0.365457256993977,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.365457256993977,-1.0066059505597,-1.0066059505597
2004,201,RED,blue,lowRew,1,4,8.4,10,10,0,0,NaN,0,-1,0,3,3,1,0.583456448992365,1,1.19046290689416,1.19046290689416,1.62599147899473,8.40009373000066,6.15009373000066,0.583456448992365,-0.538785467586265,-0.538785467586265
2004,201,GREEN,green,lowRew,1,5,6.8,9,1,0,0,NaN,1,-1,0,1,1,1,0.621025817003101,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.621025817003101,-0.476382624638888,-0.476382624638888
2004,201,RED,blue,lowRew,1,5,6.8,9,2,0,0,NaN,0,-1,0,3,3,1,0.455747760002851,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.455747760002851,-0.785815780404504,-0.785815780404504
2004,201,YELLOW,yellow,lowRew,1,5,6.8,9,3,0,0,NaN,1,-1,0,4,4,1,0.602182015005383,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.602182015005383,-0.507195528864739,-0.507195528864739
2004,201,GREEN,green,lowRew,1,5,6.8,9,4,0,0,NaN,1,-1,0,1,1,1,0.46838530099194,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.46838530099194,-0.758464029066221,-0.758464029066221
2004,201,YELLOW,yellow,lowRew,1,5,6.8,9,5,0,0,NaN,1,-1,0,4,4,1,0.390558526007226,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.390558526007226,-0.940177446394113,-0.940177446394113
2004,201,GREEN,red,lowRew,1,5,6.8,9,6,0,0,NaN,0,-1,0,2,2,1,0.450301143006072,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.450301143006072,-0.797838713356553,-0.797838713356553
2004,201,BLUE,blue,lowRew,1,5,6.8,9,7,0,0,NaN,1,-1,0,3,3,1,0.436938524988363,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.436938524988363,-0.827962768866051,-0.827962768866051
2004,201,YELLOW,yellow,lowRew,1,5,6.8,9,8,0,0,NaN,1,-1,0,4,4,1,0.432356425008038,1,1.1736382394785,NaN,NaN,6.81641048399615,4.81641048399615,0.432356425008038,-0.838504973022214,-0.838504973022214
2004,201,GREEN,red,lowRew,1,5,6.8,9,9,0,0,NaN,0,-1,0,2,NaN,1,NaN,NaN,NaN,NaN,NaN,6.81641048399615,4.81641048399615,NaN,NaN,NaN
2004,201,BLUE,yellow,lowRew,1,6,6,8,1,0,0,NaN,0,-1,0,4,4,1,0.668563376006205,1,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,0.668563376006205,-0.402624083633457,-0.402624083633457
2004,201,YELLOW,blue,lowRew,1,6,6,8,2,0,0,NaN,0,-1,0,3,4,1,0.25139310999657,0,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,NaN,-1.38073738973867,NaN
2004,201,GREEN,yellow,lowRew,1,6,6,8,3,0,0,NaN,0,-1,0,4,4,1,0.469065829995088,1,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,0.469065829995088,-0.757012157922872,-0.757012157922872
2004,201,RED,red,lowRew,1,6,6,8,4,0,0,NaN,1,-1,0,2,2,1,0.57033972600766,1,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,0.57033972600766,-0.561523085157527,-0.561523085157527
2004,201,GREEN,green,lowRew,1,6,6,8,5,0,0,NaN,1,-1,0,1,1,1,0.421283256000606,1,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,0.421283256000606,-0.864449854436132,-0.864449854436132
2004,201,YELLOW,yellow,lowRew,1,6,6,8,6,0,0,NaN,1,-1,0,4,4,1,0.391204216997721,1,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,0.391204216997721,-0.938525561233048,-0.938525561233048
2004,201,GREEN,green,lowRew,1,6,6,8,7,0,0,NaN,1,-1,0,1,1,1,0.581506197006092,1,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,0.581506197006092,-0.542133650147971,-0.542133650147971
2004,201,YELLOW,red,lowRew,1,6,6,8,8,0,0,NaN,0,-1,0,2,3,1,0.559480383992195,0,1.33317210305298,0.999879077289735,1.41152370929682,6.00072562400601,4.25072562400601,NaN,-0.580746811733607,NaN
2004,201,RED,green,lowRew,1,7,8.4,11,1,0,1,NaN,0,-1,0,1,1,1,0.793150454002898,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.793150454002898,-0.231742347722997,-0.231742347722997
2004,201,BLUE,red,lowRew,1,7,8.4,11,2,0,1,NaN,0,-1,0,2,2,1,0.529409342008876,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.529409342008876,-0.635993342935925,-0.635993342935925
2004,201,RED,green,lowRew,1,7,8.4,11,3,0,1,NaN,0,-1,0,1,1,1,0.455307077005273,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.455307077005273,-0.786783193152993,-0.786783193152993
2004,201,YELLOW,yellow,lowRew,1,7,8.4,11,4,0,1,NaN,1,-1,0,4,4,1,0.403660076000961,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.403660076000961,-0.907182151230539,-0.907182151230539
2004,201,BLUE,blue,lowRew,1,7,8.4,11,5,0,1,NaN,1,-1,0,3,3,1,0.36030580100487,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.36030580100487,-1.02080216087236,-1.02080216087236
2004,201,GREEN,green,lowRew,1,7,8.4,11,6,0,1,NaN,1,-1,0,1,1,1,0.470269544006442,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.470269544006442,-0.754449250779052,-0.754449250779052
2004,201,BLUE,blue,lowRew,1,7,8.4,11,7,0,1,NaN,1,-1,0,3,3,1,0.528284701998928,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.528284701998928,-0.638119932265149,-0.638119932265149
2004,201,YELLOW,green,lowRew,1,7,8.4,11,8,0,1,NaN,0,-1,0,1,1,1,0.72875821100024,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.72875821100024,-0.316413274142158,-0.316413274142158
2004,201,BLUE,blue,lowRew,1,7,8.4,11,9,0,1,NaN,1,-1,0,3,3,1,0.414350475009996,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.414350475009996,-0.881043105289778,-0.881043105289778
2004,201,GREEN,red,lowRew,1,7,8.4,11,10,0,1,NaN,0,-1,0,2,2,1,0.361085494994768,1,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,0.361085494994768,-1.01864052044828,-1.01864052044828
2004,201,BLUE,blue,lowRew,1,7,8.4,11,11,0,1,NaN,1,-1,0,3,1,1,0.326902835993678,0,1.30949711776456,1.19045192524051,1.69486606893874,8.40017121899291,5.90017121899291,NaN,-1.11809228987303,NaN
2004,201,RED,green,lowRew,1,8,6,8,1,0,1,NaN,0,-1,0,1,1,1,0.811758668001858,1,1.3330818370008,1.3330818370008,1.88185172789868,6.0011319470068,4.2511319470068,0.811758668001858,-0.208552189889445,-0.208552189889445
2004,201,YELLOW,yellow,lowRew,1,8,6,8,2,0,1,NaN,1,-1,0,4,4,1,0.447198902009404,1,1.3330818370008,1.3330818370008,1.88185172789868,6.0011319470068,4.2511319470068,0.447198902009404,-0.804751812400513,-0.804751812400513
2004,201,RED,green,lowRew,1,8,6,8,3,0,1,NaN,0,-1,0,1,1,1,0.465324022996356,1,1.3330818370008,1.3330818370008,1.88185172789868,6.0011319470068,4.2511319470068,0.465324022996356,-0.765021292415577,-0.765021292415577
