subj_idx,rt,response,RewardLevel,PenaltyLevel,BlockType,Congruency,congruence,IntervalTrialNum,scaledTrialSession,scaledRunningTime
2011,0.429014784000174,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,7,-1.53498017477721,1.06886923674451
2011,0.605306869998458,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.53202000463652,-1.56243786593627
2011,0.587360461999197,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,2,-1.52905983449582,-1.14258062000189
2011,0.552120276999631,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,3,-1.52609966435513,-0.740393001058036
2011,0.622750754999288,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,4,-1.52313949421443,-0.302790863137293
2011,0.671041667999816,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,5,-1.52017932407374,0.159024610206108
2011,0.539089518002584,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,6,-1.51721915393304,0.554678533288719
2011,0.680775291999453,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,7,-1.51425898379235,1.02137450045875
2011,0.500588418999541,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,8,-1.51129881365165,1.39772375592633
2011,0.821800161000283,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.50833864351096,-1.45388691201819
2011,0.588111209999624,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,2,-1.50537847337026,-1.03365323681332
2011,0.54879537299712,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,3,-1.50241830322956,-0.633132743439446
2011,0.621184613002697,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,4,-1.49945813308887,-0.196315877925596
2011,0.524806310000713,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,5,-1.49649796294817,0.192176364319523
2011,0.446999335999863,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,6,-1.49353779280748,0.541655752123808
2011,0.662864885998715,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,7,-1.49057762266678,0.999371340976136
2011,1.11253905500052,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,8,-1.48761745252609,1.68255608765587
2011,0.58651524400193,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,9,-1.48465728238539,2.10198953653193
2011,0.686044788999425,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.478736942104,-1.52195541918534
2011,0.604882045001432,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,2,-1.47577677196331,-1.0933127529719
2011,0.517468605001341,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,3,-1.47281660182261,-0.708499677289246
2011,0.455058914001711,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,4,-1.46985643168192,-0.354979171738405
2011,0.746633224000107,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,5,-1.46689626154122,0.144738332998265
2011,0.551278741000715,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,6,-1.46393609140052,0.54650400105849
2011,0.5065356289997,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,7,-1.46097592125983,0.925835221074166
2011,0.732223162001901,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,1,-1.45505558097844,-1.49880132320108
2011,0.737154180998914,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,2,-1.45209541083774,-1.00383666394636
2011,0.550589262002177,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,3,-1.44913524069705,-0.602416704534433
2011,0.959579616002884,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,4,-1.44617507055635,0.0040733190103135
2011,0.562735723000515,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,5,-1.44321490041566,0.411583582292614
2011,0.607022498999868,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,6,-1.44025473027496,0.841299484181265
2011,0.521508384998015,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,7,-1.43729456013427,1.22813812827867
2011,0.594205882996903,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.43137421985288,-1.5680039632637
2011,0.525521316001687,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,2,-1.42841404971218,-1.17915321298767
2011,0.686071454001649,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,3,-1.42545387957149,-0.709801720397969
2011,0.334955768001237,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,4,-1.42249370943079,-0.416501607851381
2011,0.628552387999662,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,5,-1.41953353929009,0.0240095014908737
2011,0.352325633000873,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,6,-1.4165733691494,0.326018962056579
2011,0.576439075000962,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,7,-1.4136131990087,0.740400163115474
2011,0.715674007002235,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.40769285872731,-1.50709916260959
2011,0.462779994999437,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,2,-1.40473268858662,-1.14970726361416
2011,0.697729178998998,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,3,-1.40177251844592,-0.674510522134204
